mode,sample,label,level_numeric,n_reads,ref_len,n_sites_used,mean_depth,mean_shannon,mean_norm_shannon,mean_pi,n_variable_sites_1pct,n_variable_sites_2pct,n_variable_sites_5pct,n_variable_sites_20pct
percent,barcode84,20pct,20.0,7427,1194,1194,5978.439698492462,0.10555993384501715,0.008760796903579367,0.03099256502680172,292,176,79,16
percent,barcode84,2pct,2.0,762,1194,1194,616.6164154103852,0.10500295999312192,0.012081813772026977,0.03224557794745889,314,193,90,16
percent,barcode84,40pct,40.0,14954,1194,1194,12025.620603015075,0.10694670376393625,0.00818502267015695,0.031306061481065295,295,178,79,16
percent,barcode84,5pct,5.0,1839,1194,1194,1480.3408710217755,0.10524099409344495,0.01058000380628649,0.03147054846448551,311,179,84,15
percent,barcode85,0p5pct,0.5,85,1157,1128,72.26773049645391,0.07515064739781036,0.012202936378824877,0.024984732368718468,402,155,59,14
percent,barcode85,10pct,10.0,1879,1157,1157,1582.8063958513396,0.10951138151548145,0.010409648938512147,0.03251673335554734,319,196,77,14
percent,barcode85,1pct,1.0,191,1157,1135,163.984140969163,0.09482907812292425,0.01290990727813073,0.02983083560840013,367,176,72,14
percent,barcode85,20pct,20.0,3736,1157,1157,3145.8902333621436,0.10984289852928728,0.009565948035259711,0.03231270632328762,306,196,75,14
percent,barcode85,2pct,2.0,355,1157,1149,296.2584856396867,0.09947631121721646,0.012504746178748596,0.030504897933552676,317,180,69,15
percent,barcode85,40pct,40.0,7324,1157,1157,6168.1356957649095,0.11113751426782184,0.008916988721489164,0.03254755104580984,303,189,78,14
percent,barcode85,5pct,5.0,937,1157,1157,779.8409680207433,0.10937831418836311,0.011472582067123848,0.03287833940138959,325,191,82,14
percent,barcode86,0p5pct,0.5,153,1153,1130,135.79469026548674,0.10363748868054906,0.014825770451179297,0.03401571090579449,325,219,95,18
percent,barcode86,10pct,10.0,3015,1153,1153,2635.606244579358,0.08775366684172545,0.007908722294087293,0.025512259237870514,250,135,53,18
